,model,Number of residues in common,global rmsd,TM-score,MaxSub-score,GDT-TS-score,GDT-TS-score %(d<1),GDT-TS-score %(d<2),GDT-TS-score %(d<4),GDT-TS-score %(d<8),GDT-HA-score,GDT-HA-score %(d<0.5),GDT-HA-score %(d<1),GDT-HA-score %(d<2),GDT-HA-score %(d<4),TM-score Superposition Length(d<5.0),CDR3 length,resolution
7tpr_F,OFr20,122,1.679,0.9208,0.8896,0.9119,0.7787,0.9016,0.9672,1.0,0.7828,0.4836,0.7787,0.9016,0.9672,119,13,2.39
7tpr_F,AF2em,122,2.011,0.8944,0.8494,0.8709,0.6311,0.8934,0.959,1.0,0.7008,0.3197,0.6311,0.8934,0.959,116,13,2.39
7tpr_F,YS,122,2.685,0.8355,0.7673,0.8176,0.5574,0.7951,0.918,1.0,0.6332,0.2623,0.5574,0.7951,0.918,108,13,2.39
7tpr_F,OFem,122,1.796,0.8964,0.8552,0.8627,0.6066,0.877,0.9672,1.0,0.6803,0.2705,0.6066,0.877,0.9672,119,13,2.39
7tpr_F,OF,122,1.665,0.9213,0.8898,0.9098,0.7705,0.9016,0.9672,1.0,0.7787,0.4754,0.7705,0.9016,0.9672,119,13,2.39
7tpr_F,AF2r10,122,1.936,0.9066,0.8675,0.8996,0.7541,0.8934,0.9508,1.0,0.7623,0.4508,0.7541,0.8934,0.9508,114,13,2.39
7tpr_F,IFem,122,2.276,0.8959,0.8609,0.875,0.6639,0.8852,0.9508,1.0,0.6988,0.2951,0.6639,0.8852,0.9508,115,13,2.39
7r63_A,YS,124,1.247,0.9282,0.9039,0.8972,0.6855,0.9032,1.0,1.0,0.7198,0.2903,0.6855,0.9032,1.0,124,15,2.0
7r63_A,AF2em,124,1.4,0.9315,0.8974,0.9173,0.7661,0.9194,0.9839,1.0,0.7802,0.4516,0.7661,0.9194,0.9839,122,15,2.0
7r63_A,OFr20em,124,1.053,0.9475,0.9282,0.9355,0.7823,0.9597,1.0,1.0,0.7863,0.4032,0.7823,0.9597,1.0,124,15,2.0
7r63_A,NNem,124,2.023,0.8933,0.8528,0.8629,0.6129,0.879,0.9597,1.0,0.6734,0.2419,0.6129,0.879,0.9597,119,15,2.0
7r63_A,OFr4em,124,0.998,0.9518,0.9332,0.9395,0.7984,0.9597,1.0,1.0,0.7863,0.3871,0.7984,0.9597,1.0,124,15,2.0
7r63_A,ESM,124,0.677,0.9788,0.9708,0.9819,0.9435,0.9839,1.0,1.0,0.9153,0.7339,0.9435,0.9839,1.0,124,15,2.0
7r63_A,OFr4,124,0.531,0.9854,0.9805,0.9899,0.9677,0.9919,1.0,1.0,0.9435,0.8145,0.9677,0.9919,1.0,124,15,2.0
7r63_A,AF2r10em,124,1.381,0.9372,0.9169,0.9194,0.7419,0.9435,0.9919,1.0,0.7722,0.4113,0.7419,0.9435,0.9919,122,15,2.0
7r63_A,IFem,124,1.282,0.9324,0.9048,0.9214,0.7661,0.9194,1.0,1.0,0.7823,0.4435,0.7661,0.9194,1.0,123,15,2.0
7r63_A,OF,124,0.522,0.9858,0.9809,0.9879,0.9597,0.9919,1.0,1.0,0.9456,0.8306,0.9597,0.9919,1.0,124,15,2.0
7r63_A,NN,124,1.711,0.9277,0.9025,0.9214,0.8306,0.8952,0.9597,1.0,0.8427,0.6855,0.8306,0.8952,0.9597,120,15,2.0
7r63_A,OFem,124,0.898,0.9586,0.9451,0.9476,0.8065,0.9839,1.0,1.0,0.8145,0.4677,0.8065,0.9839,1.0,124,15,2.0
7r63_A,IF,124,1.125,0.9535,0.929,0.9536,0.879,0.9355,1.0,1.0,0.879,0.7016,0.879,0.9355,1.0,123,15,2.0
7r63_A,AF2r10,124,1.092,0.966,0.9526,0.9677,0.9032,0.9758,0.9919,1.0,0.9032,0.7419,0.9032,0.9758,0.9919,122,15,2.0
7r63_A,AF2,124,1.165,0.953,0.9302,0.9496,0.871,0.9435,0.9839,1.0,0.8669,0.6694,0.871,0.9435,0.9839,122,15,2.0
7r63_A,OFr20,124,0.537,0.985,0.9799,0.9879,0.9516,1.0,1.0,1.0,0.9456,0.8306,0.9516,1.0,1.0,124,15,2.0
7s2r_B,AF2m,133,1.82,0.9213,0.8834,0.9117,0.8271,0.8722,0.9474,1.0,0.8365,0.6992,0.8271,0.8722,0.9474,126,21,2.49
7s2r_B,IFem,133,2.381,0.8731,0.8144,0.8421,0.6241,0.8271,0.9173,1.0,0.6842,0.3684,0.6241,0.8271,0.9173,122,21,2.49
7s2r_B,IF,133,2.388,0.8769,0.8179,0.8628,0.7293,0.812,0.9098,1.0,0.735,0.4887,0.7293,0.812,0.9098,122,21,2.49
7s2r_B,AF2em,133,1.812,0.9113,0.8689,0.8891,0.7218,0.8797,0.9549,1.0,0.7481,0.4361,0.7218,0.8797,0.9549,127,21,2.49
7s2r_B,OF,133,2.351,0.8937,0.8446,0.8947,0.812,0.8496,0.9173,1.0,0.8158,0.6842,0.812,0.8496,0.9173,120,21,2.49
7s2r_B,NNem,133,2.314,0.8696,0.8083,0.8177,0.5263,0.812,0.9323,1.0,0.6241,0.2256,0.5263,0.812,0.9323,123,21,2.49
7s2r_B,AF2r10em,133,1.944,0.9082,0.8676,0.8759,0.6692,0.8872,0.9474,1.0,0.718,0.3684,0.6692,0.8872,0.9474,127,21,2.49
7s2r_B,ESM,133,2.21,0.8935,0.8399,0.8816,0.782,0.8346,0.9098,1.0,0.8008,0.6767,0.782,0.8346,0.9098,121,21,2.49
7s2r_B,AF2r10,133,1.883,0.9216,0.884,0.9117,0.8271,0.8797,0.9398,1.0,0.8252,0.6541,0.8271,0.8797,0.9398,126,21,2.49
7s2r_B,OFr20,133,2.351,0.8937,0.8446,0.8947,0.812,0.8496,0.9173,1.0,0.8158,0.6842,0.812,0.8496,0.9173,120,21,2.49
7s2r_B,OFem,133,2.478,0.8833,0.8337,0.8665,0.7068,0.8496,0.9098,1.0,0.7086,0.3684,0.7068,0.8496,0.9098,120,21,2.49
7s2r_B,OFr4em,133,2.583,0.8739,0.8224,0.8515,0.6767,0.8346,0.9023,0.9925,0.7086,0.4211,0.6767,0.8346,0.9023,120,21,2.49
7s2r_B,OFr4,133,2.351,0.8937,0.8446,0.8947,0.812,0.8496,0.9173,1.0,0.8158,0.6842,0.812,0.8496,0.9173,120,21,2.49
7s2r_B,NN,133,2.307,0.8913,0.8436,0.8759,0.7368,0.8421,0.9248,1.0,0.75,0.4962,0.7368,0.8421,0.9248,124,21,2.49
7s2r_B,AF2,133,1.84,0.9208,0.8813,0.9079,0.812,0.8797,0.9398,1.0,0.8195,0.6466,0.812,0.8797,0.9398,126,21,2.49
7s2r_B,AF2mem,133,1.941,0.9143,0.8753,0.9098,0.8045,0.8872,0.9474,1.0,0.7895,0.5188,0.8045,0.8872,0.9474,124,21,2.49
7s2r_B,OFr20em,133,2.516,0.8825,0.8332,0.8609,0.6992,0.8496,0.9023,0.9925,0.7086,0.3835,0.6992,0.8496,0.9023,120,21,2.49
7s2r_B,YS,133,4.122,0.8026,0.7294,0.7632,0.5489,0.7368,0.812,0.9549,0.5921,0.2707,0.5489,0.7368,0.812,108,21,2.49
7nqa_C,AF2r10,123,0.923,0.9622,0.9485,0.9553,0.8699,0.9512,1.0,1.0,0.876,0.6829,0.8699,0.9512,1.0,123,15,2.2
7nqa_C,ESM,123,0.736,0.973,0.9648,0.9715,0.9106,0.9756,1.0,1.0,0.8984,0.7073,0.9106,0.9756,1.0,123,15,2.2
7nqa_C,OF,123,0.834,0.9688,0.9557,0.9634,0.8943,0.9593,1.0,1.0,0.9004,0.748,0.8943,0.9593,1.0,123,15,2.2
7nqa_C,OFr4,123,1.984,0.9166,0.8874,0.9126,0.7967,0.8943,0.9593,1.0,0.8313,0.6748,0.7967,0.8943,0.9593,116,15,2.2
7nqa_C,OFr20,123,0.724,0.9761,0.9647,0.9776,0.935,0.9756,1.0,1.0,0.9126,0.7398,0.935,0.9756,1.0,123,15,2.2
7nqa_C,IFem,123,1.904,0.8803,0.8247,0.8598,0.626,0.8455,0.9675,1.0,0.685,0.3008,0.626,0.8455,0.9675,117,15,2.2
7nqa_C,AF2em,123,1.08,0.9428,0.9221,0.9187,0.6992,0.9756,1.0,1.0,0.752,0.3333,0.6992,0.9756,1.0,123,15,2.2
7nqa_C,NNem,123,3.523,0.8163,0.7651,0.7663,0.4065,0.7805,0.8862,0.9919,0.5528,0.1382,0.4065,0.7805,0.8862,110,15,2.2
7nqa_C,OFem,123,1.084,0.946,0.9237,0.9329,0.7805,0.9512,1.0,1.0,0.7785,0.3821,0.7805,0.9512,1.0,123,15,2.2
7nqa_C,IF,123,1.914,0.8903,0.8377,0.8841,0.7398,0.8374,0.9593,1.0,0.7581,0.4959,0.7398,0.8374,0.9593,117,15,2.2
7nqa_C,OFr20em,123,1.056,0.9487,0.9271,0.9411,0.7886,0.9756,1.0,1.0,0.7947,0.4146,0.7886,0.9756,1.0,123,15,2.2
7nqa_C,AF2,123,0.859,0.9677,0.9558,0.9695,0.9106,0.9675,1.0,1.0,0.8923,0.6911,0.9106,0.9675,1.0,123,15,2.2
7nqa_C,YS,123,1.964,0.8675,0.8134,0.8171,0.4878,0.813,0.9675,1.0,0.6179,0.2033,0.4878,0.813,0.9675,120,15,2.2
7nqa_C,NN,123,3.329,0.8553,0.819,0.8598,0.7236,0.813,0.9024,1.0,0.7276,0.4715,0.7236,0.813,0.9024,110,15,2.2
7nqa_C,OFr4em,123,1.819,0.9036,0.8673,0.8923,0.7317,0.8699,0.9675,1.0,0.7398,0.3902,0.7317,0.8699,0.9675,118,15,2.2
7nqa_C,AF2r10em,123,1.063,0.9455,0.9258,0.9248,0.7398,0.9593,1.0,1.0,0.7642,0.3577,0.7398,0.9593,1.0,123,15,2.2
7rby_B,AF2em,130,1.839,0.8888,0.8284,0.8731,0.6846,0.8308,0.9769,1.0,0.7154,0.3692,0.6846,0.8308,0.9769,126,21,2.82
7rby_B,YS,130,1.81,0.8993,0.86,0.8654,0.6077,0.8846,0.9692,1.0,0.675,0.2385,0.6077,0.8846,0.9692,124,21,2.82
7rby_B,AF2r10em,130,1.912,0.886,0.82,0.8808,0.7231,0.8308,0.9692,1.0,0.7288,0.3923,0.7231,0.8308,0.9692,124,21,2.82
7rby_B,IFem,130,1.753,0.9054,0.8612,0.8904,0.7231,0.8692,0.9692,1.0,0.7385,0.3923,0.7231,0.8692,0.9692,124,21,2.82
7rby_B,AF2,130,1.732,0.9005,0.8494,0.8962,0.7538,0.8462,0.9846,1.0,0.7577,0.4462,0.7538,0.8462,0.9846,127,21,2.82
7rby_B,AF2r10,130,1.806,0.8956,0.8337,0.9,0.7692,0.8462,0.9846,1.0,0.7731,0.4923,0.7692,0.8462,0.9846,126,21,2.82
7rby_B,OFem,130,2.364,0.8916,0.8497,0.8731,0.6846,0.8692,0.9385,1.0,0.7308,0.4308,0.6846,0.8692,0.9385,121,21,2.82
7rby_B,OFr20,130,2.143,0.9043,0.8643,0.8962,0.7462,0.8923,0.9462,1.0,0.7615,0.4615,0.7462,0.8923,0.9462,122,21,2.82
7rby_B,AF2m,130,1.258,0.9458,0.9226,0.9365,0.8,0.9615,0.9846,1.0,0.8308,0.5769,0.8,0.9615,0.9846,128,21,2.82
7rby_B,OFr4em,130,2.468,0.8739,0.8265,0.8462,0.6308,0.8231,0.9308,1.0,0.6769,0.3231,0.6308,0.8231,0.9308,121,21,2.82
7rby_B,OF,130,2.146,0.9029,0.8627,0.8942,0.7462,0.8846,0.9462,1.0,0.7635,0.4769,0.7462,0.8846,0.9462,122,21,2.82
7rby_B,OFr4,130,2.149,0.904,0.8635,0.8962,0.7538,0.8923,0.9385,1.0,0.7673,0.4846,0.7538,0.8923,0.9385,121,21,2.82
7rby_B,OFr20em,130,2.377,0.8886,0.8459,0.8673,0.6615,0.8692,0.9385,1.0,0.7096,0.3692,0.6615,0.8692,0.9385,122,21,2.82
7rby_B,IF,130,1.609,0.9192,0.883,0.9096,0.7769,0.8846,0.9769,1.0,0.7846,0.5,0.7769,0.8846,0.9769,124,21,2.82
7rby_B,AF2mem,130,1.326,0.9364,0.9093,0.925,0.7769,0.9308,0.9923,1.0,0.7827,0.4308,0.7769,0.9308,0.9923,128,21,2.82
7rby_B,NNem,130,2.203,0.8618,0.7931,0.8058,0.4769,0.8154,0.9308,1.0,0.6058,0.2,0.4769,0.8154,0.9308,122,21,2.82
7rby_B,ESM,130,2.301,0.895,0.8491,0.8942,0.7846,0.8692,0.9231,1.0,0.775,0.5231,0.7846,0.8692,0.9231,120,21,2.82
7rby_B,NN,130,2.136,0.8872,0.8366,0.8769,0.7308,0.8462,0.9308,1.0,0.7327,0.4231,0.7308,0.8462,0.9308,120,21,2.82
7n9c_D,OFr20em,126,1.972,0.8571,0.7966,0.7659,0.3016,0.7778,0.9841,1.0,0.5397,0.0952,0.3016,0.7778,0.9841,124,17,3.71
7n9c_D,IF,126,1.503,0.8966,0.8639,0.8373,0.4762,0.873,1.0,1.0,0.623,0.1429,0.4762,0.873,1.0,126,17,3.71
7n9c_D,ESM,126,1.975,0.8655,0.8171,0.7976,0.4127,0.8095,0.9683,1.0,0.5734,0.1032,0.4127,0.8095,0.9683,122,17,3.71
7n9c_D,YS,126,3.379,0.8187,0.7593,0.7361,0.3333,0.7381,0.9206,0.9524,0.5198,0.0873,0.3333,0.7381,0.9206,118,17,3.71
7n9c_D,OFr4,126,1.639,0.8878,0.846,0.8135,0.4127,0.8571,0.9841,1.0,0.5913,0.1111,0.4127,0.8571,0.9841,124,17,3.71
7n9c_D,OFr4em,126,1.951,0.8551,0.7938,0.7639,0.3016,0.7698,0.9841,1.0,0.5357,0.0873,0.3016,0.7698,0.9841,124,17,3.71
7n9c_D,OFem,126,1.989,0.8532,0.7906,0.7639,0.3016,0.7698,0.9841,1.0,0.5397,0.1032,0.3016,0.7698,0.9841,124,17,3.71
7n9c_D,AF2,126,1.93,0.8647,0.8061,0.7956,0.3968,0.8095,0.9762,1.0,0.5794,0.1349,0.3968,0.8095,0.9762,120,17,3.71
7n9c_D,OFr20,126,1.639,0.8878,0.846,0.8135,0.4127,0.8571,0.9841,1.0,0.5913,0.1111,0.4127,0.8571,0.9841,124,17,3.71
7n9c_D,AF2em,126,2.241,0.8368,0.7661,0.7599,0.3333,0.7698,0.9365,1.0,0.5337,0.0952,0.3333,0.7698,0.9365,118,17,3.71
7n9c_D,AF2r10em,126,2.251,0.8315,0.7633,0.752,0.3175,0.754,0.9365,1.0,0.5238,0.0873,0.3175,0.754,0.9365,119,17,3.71
7n9c_D,NNem,126,2.157,0.8375,0.7804,0.752,0.3095,0.7302,0.9683,1.0,0.5218,0.0794,0.3095,0.7302,0.9683,121,17,3.71
7n9c_D,AF2r10,126,1.942,0.8656,0.8093,0.7996,0.4206,0.8016,0.9762,1.0,0.5794,0.119,0.4206,0.8016,0.9762,120,17,3.71
7n9c_D,NN,126,1.817,0.8769,0.8276,0.8194,0.4524,0.8413,0.9841,1.0,0.5972,0.1111,0.4524,0.8413,0.9841,123,17,3.71
7n9c_D,OF,126,1.639,0.8878,0.846,0.8135,0.4127,0.8571,0.9841,1.0,0.5913,0.1111,0.4127,0.8571,0.9841,124,17,3.71
7n9c_D,IFem,126,1.778,0.8747,0.8224,0.7996,0.3968,0.8175,0.9841,1.0,0.5794,0.119,0.3968,0.8175,0.9841,125,17,3.71
7ocy_C,AF2em,108,1.189,0.9273,0.9127,0.9236,0.7685,0.9259,1.0,1.0,0.7477,0.2963,0.7685,0.9259,1.0,108,6,4.25
7ocy_C,IF,108,1.138,0.9347,0.9208,0.9282,0.7963,0.9167,1.0,1.0,0.7894,0.4444,0.7963,0.9167,1.0,108,6,4.25
7ocy_C,AF2m,108,0.988,0.9458,0.9375,0.9398,0.8148,0.9444,1.0,1.0,0.794,0.4167,0.8148,0.9444,1.0,108,6,4.25
7ocy_C,OFem,108,1.179,0.9262,0.9146,0.9097,0.713,0.9259,1.0,1.0,0.7269,0.2685,0.713,0.9259,1.0,108,6,4.25
7ocy_C,NN,108,1.225,0.9281,0.9149,0.9144,0.7407,0.9167,1.0,1.0,0.7778,0.4537,0.7407,0.9167,1.0,108,6,4.25
7ocy_C,OFr4,108,0.971,0.9497,0.9418,0.956,0.8704,0.9537,1.0,1.0,0.8264,0.4815,0.8704,0.9537,1.0,108,6,4.25
7ocy_C,AF2r10em,108,1.165,0.9293,0.9181,0.9259,0.7685,0.9352,1.0,1.0,0.7431,0.2685,0.7685,0.9352,1.0,108,6,4.25
7ocy_C,YS,108,1.545,0.8888,0.8605,0.8565,0.5463,0.8796,1.0,1.0,0.6644,0.2315,0.5463,0.8796,1.0,107,6,4.25
7ocy_C,NNem,108,1.821,0.8608,0.8287,0.8171,0.4815,0.8056,0.9815,1.0,0.6065,0.1574,0.4815,0.8056,0.9815,106,6,4.25
7ocy_C,OFr4em,108,1.284,0.9191,0.9042,0.9074,0.713,0.9167,1.0,1.0,0.7269,0.2778,0.713,0.9167,1.0,107,6,4.25
7ocy_C,OF,108,0.986,0.9487,0.9413,0.956,0.8796,0.9444,1.0,1.0,0.831,0.5,0.8796,0.9444,1.0,108,6,4.25
7ocy_C,AF2,108,1.006,0.9455,0.9374,0.9491,0.8519,0.9444,1.0,1.0,0.7986,0.3981,0.8519,0.9444,1.0,108,6,4.25
7ocy_C,OFr20,108,0.985,0.949,0.9414,0.9537,0.8704,0.9444,1.0,1.0,0.8264,0.4907,0.8704,0.9444,1.0,108,6,4.25
7ocy_C,OFr20em,108,1.199,0.9249,0.9098,0.9097,0.7037,0.9352,1.0,1.0,0.7245,0.2593,0.7037,0.9352,1.0,108,6,4.25
7ocy_C,AF2r10,108,1.007,0.9456,0.9376,0.9491,0.8519,0.9444,1.0,1.0,0.8009,0.4074,0.8519,0.9444,1.0,108,6,4.25
7ocy_C,IFem,108,1.344,0.9155,0.8915,0.9144,0.75,0.9074,1.0,1.0,0.7407,0.3056,0.75,0.9074,1.0,107,6,4.25
7ocy_C,ESM,108,0.997,0.9465,0.9386,0.9491,0.8519,0.9444,1.0,1.0,0.8056,0.4259,0.8519,0.9444,1.0,108,6,4.25
7ocy_C,AF2mem,108,1.259,0.9156,0.8991,0.8912,0.6389,0.9259,1.0,1.0,0.6991,0.2315,0.6389,0.9259,1.0,108,6,4.25
7f5g_B,OFr4em,117,1.736,0.9003,0.8628,0.8846,0.7179,0.8632,0.9573,1.0,0.7479,0.453,0.7179,0.8632,0.9573,112,9,1.75
7f5g_B,NNem,117,2.298,0.8423,0.7836,0.812,0.5641,0.7778,0.906,1.0,0.6111,0.1966,0.5641,0.7778,0.906,108,9,1.75
7f5g_B,AF2r10em,117,2.34,0.8562,0.7955,0.8397,0.6496,0.8034,0.906,1.0,0.6944,0.4188,0.6496,0.8034,0.906,106,9,1.75
7f5g_B,YS,117,2.979,0.7967,0.7206,0.7735,0.5128,0.7521,0.8291,1.0,0.5769,0.2137,0.5128,0.7521,0.8291,97,9,1.75
7f5g_B,ESM,117,2.378,0.8807,0.8341,0.8739,0.7436,0.8291,0.9316,0.9915,0.7607,0.5385,0.7436,0.8291,0.9316,107,9,1.75
7f5g_B,AF2mem,117,2.536,0.8461,0.7868,0.8333,0.6581,0.7778,0.8974,1.0,0.688,0.4188,0.6581,0.7778,0.8974,105,9,1.75
7f5g_B,AF2m,117,2.188,0.882,0.8256,0.8825,0.7692,0.8291,0.9316,1.0,0.7821,0.5983,0.7692,0.8291,0.9316,110,9,1.75
7f5g_B,IFem,117,2.32,0.8456,0.7863,0.8312,0.6068,0.7863,0.9316,1.0,0.6603,0.3162,0.6068,0.7863,0.9316,109,9,1.75
7f5g_B,OFem,117,1.7,0.9057,0.864,0.8953,0.7436,0.8803,0.9573,1.0,0.7521,0.4274,0.7436,0.8803,0.9573,112,9,1.75
7f5g_B,OF,117,1.609,0.9266,0.9001,0.9188,0.7949,0.9145,0.9658,1.0,0.8205,0.6068,0.7949,0.9145,0.9658,113,9,1.75
7f5g_B,NN,117,1.867,0.892,0.8471,0.8803,0.735,0.8376,0.9487,1.0,0.7607,0.5214,0.735,0.8376,0.9487,112,9,1.75
7f5g_B,IF,117,1.8,0.8909,0.8431,0.8846,0.735,0.8462,0.9573,1.0,0.7415,0.4274,0.735,0.8462,0.9573,112,9,1.75
7f5g_B,OFr4,117,1.566,0.9264,0.9005,0.9188,0.812,0.8974,0.9658,1.0,0.8291,0.641,0.812,0.8974,0.9658,113,9,1.75
7f5g_B,AF2r10,117,2.111,0.8842,0.8324,0.8846,0.7692,0.8376,0.9316,1.0,0.7885,0.6154,0.7692,0.8376,0.9316,109,9,1.75
7f5g_B,OFr20,117,1.564,0.9258,0.8961,0.9188,0.7863,0.9145,0.9744,1.0,0.8184,0.5983,0.7863,0.9145,0.9744,114,9,1.75
7f5g_B,OFr20em,117,1.707,0.9016,0.8622,0.8846,0.7009,0.8718,0.9658,1.0,0.7393,0.4188,0.7009,0.8718,0.9658,112,9,1.75
7f5g_B,AF2,117,2.11,0.8834,0.8328,0.8825,0.7607,0.8376,0.9316,1.0,0.7821,0.5983,0.7607,0.8376,0.9316,109,9,1.75
7f5g_B,AF2em,117,2.388,0.8501,0.7884,0.8312,0.641,0.7863,0.8974,1.0,0.6795,0.3932,0.641,0.7863,0.8974,104,9,1.75
7b2p_D,OFem,119,1.386,0.9241,0.8994,0.895,0.6471,0.9496,0.9832,1.0,0.7017,0.2269,0.6471,0.9496,0.9832,117,12,3.43
7b2p_D,OF,119,1.143,0.9483,0.9275,0.9475,0.8235,0.9664,1.0,1.0,0.7815,0.3361,0.8235,0.9664,1.0,117,12,3.43
7b2p_D,NNem,119,1.816,0.8708,0.8197,0.8109,0.4454,0.8319,0.9664,1.0,0.6029,0.1681,0.4454,0.8319,0.9664,116,12,3.43
7b2p_D,IFem,119,2.133,0.8933,0.8603,0.8634,0.6134,0.8992,0.9412,1.0,0.6639,0.2017,0.6134,0.8992,0.9412,112,12,3.43
7b2p_D,IF,119,1.942,0.9174,0.8929,0.9139,0.7731,0.9244,0.958,1.0,0.7626,0.395,0.7731,0.9244,0.958,112,12,3.43
7b2p_D,AF2em,119,1.36,0.9264,0.905,0.8992,0.6555,0.958,0.9832,1.0,0.7017,0.2101,0.6555,0.958,0.9832,117,12,3.43
7b2p_D,AF2r10,119,1.196,0.9462,0.9233,0.9454,0.8235,0.958,1.0,1.0,0.7857,0.3613,0.8235,0.958,1.0,117,12,3.43
7b2p_D,ESM,119,1.103,0.9523,0.9365,0.9517,0.8487,0.9664,0.9916,1.0,0.8004,0.395,0.8487,0.9664,0.9916,117,12,3.43
7b2p_D,OFr4,119,1.17,0.9478,0.9244,0.9475,0.8403,0.958,0.9916,1.0,0.7899,0.3697,0.8403,0.958,0.9916,117,12,3.43
7b2p_D,OFr20,119,1.143,0.9483,0.9275,0.9475,0.8235,0.9664,1.0,1.0,0.7815,0.3361,0.8235,0.9664,1.0,117,12,3.43
7b2p_D,OFr20em,119,1.383,0.9239,0.9008,0.9013,0.6639,0.958,0.9832,1.0,0.7059,0.2185,0.6639,0.958,0.9832,117,12,3.43
7b2p_D,YS,119,2.631,0.8803,0.8504,0.8529,0.605,0.8739,0.9412,0.9916,0.6702,0.2605,0.605,0.8739,0.9412,112,12,3.43
7b2p_D,AF2r10em,119,1.456,0.923,0.8968,0.9034,0.6723,0.958,0.9832,1.0,0.7038,0.2017,0.6723,0.958,0.9832,115,12,3.43
7b2p_D,AF2,119,1.158,0.9479,0.9276,0.9433,0.8235,0.958,0.9916,1.0,0.7836,0.3613,0.8235,0.958,0.9916,117,12,3.43
7b2p_D,NN,119,1.251,0.9367,0.9066,0.9349,0.7983,0.9412,1.0,1.0,0.7773,0.3697,0.7983,0.9412,1.0,118,12,3.43
7b2p_D,OFr4em,119,1.415,0.9212,0.8988,0.8887,0.6303,0.9412,0.9832,1.0,0.6912,0.2101,0.6303,0.9412,0.9832,117,12,3.43
7p5w_G,IF,120,2.311,0.902,0.8746,0.8938,0.7167,0.9083,0.95,1.0,0.7333,0.3583,0.7167,0.9083,0.95,113,12,3.5
7p5w_G,OFr20,120,2.135,0.8932,0.8589,0.8854,0.725,0.875,0.9417,1.0,0.725,0.3583,0.725,0.875,0.9417,113,12,3.5
7p5w_G,NNem,120,2.312,0.8519,0.8038,0.8,0.4417,0.8167,0.9417,1.0,0.5896,0.1583,0.4417,0.8167,0.9417,114,12,3.5
7p5w_G,OFr20em,120,2.339,0.8641,0.8245,0.8292,0.55,0.8417,0.925,1.0,0.6292,0.2,0.55,0.8417,0.925,111,12,3.5
7p5w_G,YS,120,1.645,0.8944,0.8527,0.85,0.525,0.8917,0.9833,1.0,0.6479,0.1917,0.525,0.8917,0.9833,118,12,3.5
7p5w_G,AF2r10em,120,2.322,0.87,0.8295,0.85,0.6167,0.8583,0.925,1.0,0.6542,0.2167,0.6167,0.8583,0.925,111,12,3.5
7p5w_G,OF,120,2.135,0.8932,0.8589,0.8854,0.725,0.875,0.9417,1.0,0.725,0.3583,0.725,0.875,0.9417,113,12,3.5
7p5w_G,IFem,120,2.413,0.8766,0.8385,0.8438,0.575,0.8583,0.9417,1.0,0.6542,0.2417,0.575,0.8583,0.9417,113,12,3.5
7p5w_G,OFr4em,120,2.088,0.8733,0.832,0.85,0.6167,0.8417,0.9417,1.0,0.6562,0.225,0.6167,0.8417,0.9417,113,12,3.5
7p5w_G,OFem,120,2.344,0.8626,0.8206,0.8292,0.55,0.8417,0.925,1.0,0.6271,0.1917,0.55,0.8417,0.925,111,12,3.5
7p5w_G,NN,120,2.14,0.9043,0.8757,0.9021,0.7333,0.9167,0.9583,1.0,0.7375,0.3417,0.7333,0.9167,0.9583,113,12,3.5
7p5w_G,AF2,120,2.102,0.9053,0.8774,0.8917,0.725,0.9,0.9417,1.0,0.725,0.3333,0.725,0.9,0.9417,112,12,3.5
7p5w_G,OFr4,120,1.868,0.9027,0.8662,0.9,0.75,0.9,0.95,1.0,0.7375,0.35,0.75,0.9,0.95,113,12,3.5
7p5w_G,ESM,120,2.104,0.9141,0.8907,0.9104,0.7583,0.9333,0.95,1.0,0.7479,0.35,0.7583,0.9333,0.95,114,12,3.5
7p5w_G,AF2em,120,2.199,0.8803,0.8429,0.8458,0.5917,0.8583,0.9333,1.0,0.6625,0.2667,0.5917,0.8583,0.9333,113,12,3.5
7p5w_G,AF2r10,120,2.116,0.9037,0.8755,0.8875,0.7083,0.9,0.9417,1.0,0.7188,0.325,0.7083,0.9,0.9417,112,12,3.5
7vfa_D,OF,122,1.118,0.9673,0.9531,0.9754,0.9426,0.9672,0.9918,1.0,0.9201,0.7787,0.9426,0.9672,0.9918,118,16,1.75
7vfa_D,OFr4,122,1.129,0.9671,0.953,0.9775,0.9508,0.9672,0.9918,1.0,0.9221,0.7787,0.9508,0.9672,0.9918,118,16,1.75
7vfa_D,AF2mem,122,0.636,0.9773,0.9698,0.9816,0.9262,1.0,1.0,1.0,0.8832,0.6066,0.9262,1.0,1.0,122,16,1.75
7vfa_D,OFr4em,122,1.185,0.9558,0.9371,0.9631,0.8852,0.9672,1.0,1.0,0.8586,0.582,0.8852,0.9672,1.0,118,16,1.75
7vfa_D,OFr20,122,1.118,0.9673,0.9531,0.9754,0.9426,0.9672,0.9918,1.0,0.9201,0.7787,0.9426,0.9672,0.9918,118,16,1.75
7vfa_D,NN,122,1.435,0.9371,0.9106,0.9344,0.8033,0.9426,0.9918,1.0,0.7992,0.459,0.8033,0.9426,0.9918,119,16,1.75
7vfa_D,AF2,122,1.188,0.9647,0.9506,0.9754,0.9426,0.9672,0.9918,1.0,0.9139,0.7541,0.9426,0.9672,0.9918,118,16,1.75
7vfa_D,YS,122,5.239,0.8635,0.839,0.8422,0.6557,0.877,0.9016,0.9344,0.6701,0.2459,0.6557,0.877,0.9016,110,16,1.75
